,Date,Price,Open,High,Low,Vol.,Change %
1589,11/28/2003,109.63,109.08,109.68,109.06,,0.47%
1590,11/27/2003,109.12,109.01,109.32,108.86,,0.08%
1591,11/26/2003,109.03,109.41,109.8,108.82,,-0.34%
1592,11/25/2003,109.4,109.32,110.08,109.22,,-0.01%
1593,11/24/2003,109.41,108.73,109.52,108.73,,0.59%
1594,11/21/2003,108.77,108.97,109.42,108.64,,-0.17%
1595,11/20/2003,108.96,109.27,109.36,108.6,,-0.28%
1596,11/19/2003,109.27,107.95,109.42,107.51,,1.11%
1597,11/18/2003,108.07,108.89,109.13,107.92,,-0.79%
1598,11/17/2003,108.93,108.23,109.77,108.19,,0.54%
1599,11/14/2003,108.34,108.14,108.56,107.94,,0.20%
1600,11/13/2003,108.12,108.85,108.9,108.0,,-0.66%
1601,11/12/2003,108.84,108.7,109.21,108.41,,0.13%
1602,11/11/2003,108.7,108.83,109.15,108.36,,0.01%
1603,11/10/2003,108.69,109.3,109.69,107.83,,-0.59%
1604,11/07/2003,109.34,110.2,110.42,109.02,,-0.85%
1605,11/06/2003,110.28,109.88,110.32,109.8,,0.36%
1606,11/05/2003,109.88,109.55,110.11,109.44,,0.31%
1607,11/04/2003,109.54,110.94,111.04,109.35,,-1.32%
1608,11/03/2003,111.01,109.88,111.52,109.68,,0.99%
1609,10/31/2003,109.92,108.69,110.25,108.59,,1.07%
1610,10/30/2003,108.76,108.34,108.92,107.94,,0.39%
1611,10/29/2003,108.34,108.21,108.37,107.82,,0.10%
1612,10/28/2003,108.23,108.45,108.67,108.16,,-0.28%
1613,10/27/2003,108.53,109.31,109.35,108.24,,-0.57%
1614,10/24/2003,109.15,109.47,110.03,108.98,,-0.29%
1615,10/23/2003,109.47,109.47,109.56,109.3,,0.43%
1616,10/22/2003,109.0,109.49,109.72,108.77,,-0.44%
1617,10/21/2003,109.48,110.4,110.45,109.38,,-0.84%
1618,10/20/2003,110.41,108.84,110.61,108.78,,1.00%
1619,10/17/2003,109.32,109.85,110.05,109.25,,-0.51%
1620,10/16/2003,109.88,109.61,110.34,109.15,,0.32%
1621,10/15/2003,109.53,108.84,109.85,108.74,,0.58%
1622,10/14/2003,108.9,108.89,110.28,108.63,,-0.01%
1623,10/13/2003,108.91,108.55,109.06,108.28,,0.23%
1624,10/10/2003,108.66,109.06,109.33,108.23,,-0.47%
1625,10/09/2003,109.17,109.53,109.64,108.84,,-0.37%
1626,10/08/2003,109.57,109.9,110.06,109.35,,-0.34%
1627,10/07/2003,109.94,110.97,111.15,109.32,,-0.92%
1628,10/06/2003,110.96,110.97,111.39,110.76,,0.05%
1629,10/03/2003,110.91,110.74,111.14,110.22,,0.20%
1630,10/02/2003,110.69,110.54,111.34,110.53,,0.08%
1631,10/01/2003,110.6,111.45,111.56,110.52,,-0.82%
